привет,HELO
как дела,HELO
здравствуй,HELO
прифки,HELO
дратути,HELO
хеллоу,HELO
превед,HELO
как здоровье,HELO
ты живой,HELO
здравия желаю,HELO
здраствуй,HELO
здарова,HELO
привет мразь,HELO
приветствую вас,HELO
privet,HELO
салам брат,HELO
банкоматы,ATMS
ближайший банкомат,ATMS
где я могу снять деньги со счета,ATMS
где я могу получить наличные,ATMS
где находятся банкоматы вашего банка,ATMS
где я могу снять бабки,ATMS
где снять бабосы,ATMS
где снять бабло,ATMS
где ваши atms,ATMS
снять деньги атм,ATMS
ближайший банкамат,ATMS
где вы выдаете деньги,ATMS
снять наличку,ATMS
выдайте мне деньги,ATMS
дайте мое бабло,ATMS
дайте мои бабки,ATMS
покажите на карте местоположения банкоматов,ATMS
локация банкоматов,ATMS
геолокация банкоматов,ATMS
где выдавалка денег,ATMS
вытащить деньги,ATMS
отдай мою денежку,ATMS
получить зряплату,ATMS
снять зарплату,ATMS
gde bankomat,ATMS
gde snat dengi,ATMS
gde nahodatsa bankomati,ATMS
blijayshiy bankomat,ATMS
snat zarplatu,ATMS
бляха,RUDE
могу послать бота,RUDE
иди на хуй,RUDE
сасай лалка,RUDE
соси хуй,RUDE
сука хуесосы,RUDE
лох пидр,RUDE
ипал,RUDE
ебать тёплое дерьмо,RUDE
разрабы гондоны,RUDE
лалка затралил,RUDE
сучки ебанутые мрази,RUDE
пошли нахуй,RUDE
ебанутые,RUDE 
суки ёбаные,RUDE
отсосете хуйца,RUDE
конченные мрази,RUDE 
блядины хуевы,RUDE
идите нахер,RUDE
курва,RUDE
говно,RUDE
педики часом,RUDE
малафья потекла,RUDE
подрочил,RUDE
вы там не охуели,RUDE
говнище вообще суки,RUDE
фак бич падла,RUDE
кстати мразоты ваш бот это нехилое говнецо,RUDE
в пизду вашего бота,RUDE
пиздаболы вы кинули меня,RUDE
иди в жопу,RUDE
шлюха,RUDE
гнида,RUDE
ёбаный,RUDE
соси свой хуй,RUDE
тварь,RUDE
suka blyad,RUDE
я хочу выразить свое мнение,RESP
а как я могу написать отзыв,RESP
ваш бот говно,RESP
ваш бот великолепен но я бы хотел улучшить его,RESP
у меня есть предложение по поводу бота я хочу более точные курсы валют,RESP
я хочу написать отзыв,RESP
я написал бота который во много раз круче,RESP
вы упростили мою жизнь,RESP
у меня зависает бот,RESP 
курсы валют не пришли вовремя,RESP
я хотел чтобы бот давал более правильные ответы,RESP
у вас разработчики плохие,RESP
ваш бот поздно отвечает на вопросы,RESP
я хотел чтобы уведомления приходили два раза в день,RESP
мне кажется что вы спиздили наш дизайн,RESP
а ваш бот умеет показывать фокусы,RESP
мне отправили неправильное расположение,RESP
мне нужно больше функций,RESP
а у вас будет бот для скайпа,RESP
пофиксите баг пожалуйста,RESP
бот перестал работать,RESP
спасибо бот замечательно работает,RESP
отлично мне все нравится,RESP
мне не нравится как работает эта шняга,RESP
все работает все отлично,RESP
вы отлично поработали хвала вам и честь,RESP
как вы разработали вашего бота,RESP
как вы пришли к успеху,RESP
ваш бот периодически зависает и иногда тормозит,RESP
красавчики мне все нравится,RESP
пришлите пожалуйста курсы валют,CURR
курсы валют,CURR
курс валют,CURR
последние курсы,CURR
новые курсы,CURR
свежий курс,CURR
получить курсы,CURR
получить курс,CURR
хочу получить свежие курсы,CURR
сколько сейчас стоят рубли и доллары,CURR
сколько сейчас будет стоить манат,CURR
манат падает,CURR
нужны курсы,CURR
курсы,CURR
excange,CURR
exc,CURR
почем манат,CURR
почем доллар,CURR
почем евро,CURR
доллары есть,CURR
сколько манат стоит,CURR
доллар за сколько,CURR
хороший курс,CURR
плохой курс,CURR
дай курс,CURR
мне страшно,CURR
валюта есть,CURR
мне не нужна ваша помощь,NONE
не помогайте мне,NONE
не помоги мне,NONE
пожалуйста ты не можешь мне помочь,NONE
как не посмотреть курсы валют,NONE
как не найти ближайший филиал,NONE
не хочу смотреть курсы,NONE
а как я могу не получать информацию о депозитах,NONE
какие команды ты не знаешь,NONE
чем помочь не можешь,NONE
мне не нужно помочь,NONE
нет вопросов к тебе,NONE
на что ты не можешь ответить,NONE
отвали от меня,NONE
остань от меня,NONE
у меня есть парень,NONE
можешь не помогать,NONE
от помощи отказался бы,NONE
говорят ты тупой и многое не умеешь,NONE
не отвечай ка на вопрос,NONE
на что не можешь ответить,NONE
ответы какие не знаешь ты,NONE
нельзя обратиться,NONE
когда могу не обращаться,NONE
по каким поводам ты бесполезен,NONE
чем можешь быть не полезен мне,NONE
не хочу работать в этом банке,NONE
ты не нужен,NONE
как тебя удалить,NONE
ты абсолютно бесполезен и не нужен,NONE
мне не нужны твои кредиты,NONE
мне нужна ваша помощь,HELP
помогите мне,HELP
помоги мне,HELP
пожалуйста ты можешь мне помочь,HELP
как посмотреть курсы валют,HELP
как найти ближайший филиал,HELP
а как я могу получить информацию о депозитах,HELP
какие команды ты знаешь,HELP
чему обучен ты,HELP
чем помочь можешь,HELP
мне нужно помочь,HELP
есть вопросы к тебе,HELP
на что ты можешь ответить,HELP
чем можешь помочь,HELP
можешь помочь,HELP
от помощи не отказался бы,HELP
говорят ты умный и многое умеешь,HELP
ответь ка на вопрос,HELP
на что можешь ответить,HELP
ответы какие знаешь,HELP
можно обратиться,HELP
когда могу обращаться,HELP
по каким поводам ты полезен,HELP
чем можешь быть полезен мне,HELP
ты вообще зачем есть,HELP
чем ты можешь быть полезен,HELP
как много ты умеешь,HELP
ты можешь мне кое в чем помочь,HELP
что ты можешь мне дать,HELP
какие команды ты выполняешь,HELP
pomogi mne,HELP
cto ti umeyew,HELP
cto ti umeyesh,HELP
вклад,DEPS
депозит,DEPS
я хочу внести вклад,DEPS
как мне внести вклад,DEPS
ваш банк позволяет внести депозит,DEPS
какие депозиты есть,DEPS
как я могу положить депозит,DEPS
какие проценты ваших депозитов,DEPS
на какой срок я могу положить депозит,DEPS
куда подойти за снятием процентов,DEPS
как получить проценты с депозита,DEPS
ваши депозиты хорошие,DEPS
зачем мне класть депозит,DEPS
выгодные ли у вас депозиты,DEPS
депозиты есть у вас,DEPS
во сколько обходится депозит,DEPS
какие проценты депозитов у вас,DEPS
проценты депозитов,DEPS
проценты по депозитам какие,DEPS
где узнать какие у вас депозиты,DEPS
какая выгода у депозитов,DEPS
проценты высокие на депозитах,DEPS
лучшый депозит какой,DEPS
что посоветуешь по депозитам,DEPS
какие депозиты советуете,DEPS
на какие сроки депозиты,DEPS
сроки депозитов,DEPS
срочные депозиты,DEPS
долгосрочные депозиты,DEPS
быстрые депозиты,DEPS
выгодные депозиты,DEPS
депозитные ставки,DEPS
ставки какие по депозитам,DEPS
принимаете депозиты,DEPS
вклады есть,DEPS
вклады какие есть,DEPS
проценты по кладам,DEPS
срочные вклады,DEPS
снятие вкладов быстрое,DEPS
какие вклады лучшие,DEPS
чат,CONN
номер,CONN
звонок,CONN
написать,CONN
связаться,CONN
позвонить,CONN
звонок,CONN
как я могу позвонить в ваш банк,CONN
совершить звонок,CONN
звякнуть к вам,CONN
какой ваш номер телефона,CONN
телефон можете дать,CONN
номерочек не подскажете,CONN
я хочу связаться с банком,CONN
как связаться,CONN
хочу связаться с вами,CONN
хочу позвонить вам,CONN
хочу написать вам,CONN
написать в банк,CONN
позвонить в банк,CONN
как вам позвонить,CONN
как написать в банк,CONN
куда вам звонить,CONN
куда писать надо,CONN
как надо писать вам,CONN
как звонить,CONN
онлайн чат нужен,CONN
чат где,CONN
есть чат у вас,CONN
где оператор,CONN
нужен оператор,CONN
как написать оператору,CONN
оператор есть,CONN
человеку как написать,CONN
человек есть,CONN
кол центр где,CONN
нужен кол центр,CONN
связаться с колцентром,CONN
колцентра номер,CONN
номер есть,CONN
какой номер у вас,CONN
кредит,PROD
предложения,PROD
услуги,PROD
продукты,PROD
какие продукты у вашего банка,PROD
что банк может мне дать,PROD
что можете предложить,PROD
что есть у банка,PROD
какие услуги есть,PROD
чем можете мне помочь,PROD
какими услугами распологаете,PROD
сейфы есть,PROD
ячейки есть,PROD
рко работает,PROD
расчётные операции есть,PROD
нужны бухгалтеры,PROD
услуги какие есть,PROD
какие услуги оказываете,PROD
что за продукты у вас,PROD
чем помочь можете,PROD
продукты какие у вас,PROD
что могу у вас заказать,PROD
чем вы помогаете,PROD
какие ячейки даёте,PROD
какие сейфы,PROD
бухгалтерия нужна,PROD
есть ли бух помощь,PROD
бух нужен,PROD
бухучёт есть,PROD
нам нужен бухучёт,PROD
какие товары есть,PROD
что вы за банк такой,PROD
что в банке есть у вас,PROD
что есть у вас,PROD
что есть,PROD
что предложите,PROD
какие предложения,PROD
какие варианты есть,PROD
варианты,PROD
есть кредиты,PROD
а кредиты есть,PROD
кредит нужен,PROD
счета,BALN
баланс,BALN
покажи баланс,BALN
я хочу узнать свой баланс,BALN
сколько денег на счете,BALN
покажи оставшиеся деньги,BALN
остались ли деньги на счету,BALN
сколько осталось денег у меня,BALN
деньги остались,BALN
бабки есть,BALN
на счету сколько денег,BALN
сколько осталось денег на счету,BALN
сколько бабок на карте осталось,BALN
сколько денег на карте,BALN
сколько осталось на карте,BALN
какой остаток на счету,BALN
какой остаток на карте,BALN
сколько на счетах есть,BALN
сколько осталось,BALN
покажи балансы,BALN
какая сумма на счету,BALN
на счетах какие суммы,BALN
какие деньги на счетах,BALN
сколько осталось на счету,BALN
счёт какой,BALN
какие у меня счета,BALN
какие счета есть,BALN
на счетах сколько,BALN
на счетах суммы,BALN
пришли ли деньги,BALN
поступления были,BALN
баланс изменился,BALN
просмотреть счета,BALN
хочу свои счета,BALN
сколько на счетах,BALN
какие у меня счета,BALN
зарплата пришла,BALN
пришли ли деньги,BALN
сколько денег,BALN
покажи счета,BALN
транз,TRAN
транзакции,TRAN
последние транзакции,TRAN
последние операции со счетом,TRAN
какие транзакции есть,TRAN
выписку по счёту дай,TRAN
нужна выписка,TRAN
какие операции на карте были,TRAN
какие операции на счету были,TRAN
выписка по карте,TRAN
транзакции карты,TRAN
операции карты,TRAN
траты покажи,TRAN
поступления были,TRAN
сколько потратил в месяц,TRAN
сколько ушло денег со счёта,TRAN
какие операции были на счету,TRAN
сколько сняли денег,TRAN
снятий сколько было за месяц,TRAN
сколько снял вчера,TRAN
подскажи сколько ушло денег,TRAN
скажи сколько потратил денег,TRAN
сколько сняли денег,TRAN
последние операции когда были,TRAN
сколько потратил денег,TRAN
покажи что потратил,TRAN
разве так мало денег осталось,TRAN
не может такой баланс быть,TRAN
так мало денег не может быть,TRAN
откуда такой баланс,TRAN
баланс неверный,TRAN
покажи почему такой баланс,TRAN
где снял эти деньги,TRAN
на что я снял деньги,TRAN
куда потратил деньги,TRAN
куда потратил бабки,TRAN
где бабки,TRAN
бабки когда тратил,TRAN
баблосы куда ушли,TRAN
уверен в балансе,TRAN
куда деньги ушли,TRAN
когда ушли деньги,TRAN
когда потратил столько,TRAN
куда тратил деньги этот месяц,TRAN
карты,CARD
карта,CARD
сколько стоит открыть счет в банке,CARD
где я могу получить карточку,CARD
какие проценты на ваших картах,CARD
на какой срок я могу получить карту,CARD
виза у вас работает,CARD
мастеркард у вас есть,CARD
куда подойти за картой,CARD
как карту получить,CARD
можно ли заказать карты онлайн,CARD
ваши карты хорошие,CARD
зачем мне получать у вас карту,CARD
выгодные ли у вас карты,CARD
карточки есть у вас,CARD
из дома карту заказать можно,CARD
во сколько обходится содеражние вашей карты,CARD
можно ли получить карту бесплатно,CARD
кредитные карты есть у вас,CARD
какие проценты на картах у вас,CARD
проценты на картах какие,CARD
где узнать какие у вас тарифы,CARD
какие комиссии у вас на картах,CARD
комиссии высокие на картах,CARD
лучшая карта какая,CARD
что посоветуешь по картам,CARD
какие карты советуете,CARD
mastercard обслуживаете,CARD
master есть,CARD
мастер карты есть,CARD
visa есть,CARD
карты visa какие есть,CARD
карты виза какие есть,CARD
дебетовые карты как открыть,CARD
дистанционно можно открыть карту,CARD
visa gold est,CARD
виза голд есть,CARD
виза платинум хочу,CARD
виза электрон почём,CARD
виза классик нужна,CARD
visa classic hochu,CARD
visa classic выдаёте,CARD
нужна пластиковая карта,CARD
приветики,HELO
звонок банку,CONN
не хочу банкоматы,NONE